----------------------------------------
Begin Torque Prologue on nid25257
at Sat Nov 17 21:06:57 CST 2018
Job Id:			9232114.bw
Username:		traXXX
Group:			TRAIN_bauh
Job name:		mp9-part2
Requested resources:	nodes=1:ppn=16:xk,walltime=10:00:00,neednodes=1:ppn=16:xk
Queue:			normal
Account:		bauh
End Torque Prologue:  0.292 elapsed
----------------------------------------




>>>    Batch: 0 | Accuracy: 0.0
>>>    Batch: 16 | Accuracy: 0.0
>>>    Batch: 32 | Accuracy: 18.75
>>>    Batch: 48 | Accuracy: 0.0
>>>    Batch: 64 | Accuracy: 0.0
>>>    Batch: 80 | Accuracy: 0.0
>>>    Batch: 96 | Accuracy: 6.25
>>>    Batch: 112 | Accuracy: 12.5
>>>    Batch: 128 | Accuracy: 6.25
>>>    Batch: 144 | Accuracy: 25.0
>>>    Batch: 160 | Accuracy: 6.25
>>>    Batch: 176 | Accuracy: 12.5
>>>    Batch: 192 | Accuracy: 6.25
>>>    Batch: 208 | Accuracy: 6.25
>>>    Batch: 224 | Accuracy: 12.5
>>>    Batch: 240 | Accuracy: 0.0
>>>    Batch: 256 | Accuracy: 12.5
>>>    Batch: 272 | Accuracy: 6.25
>>>    Batch: 288 | Accuracy: 6.25
>>>    Batch: 304 | Accuracy: 12.5
>>>    Batch: 320 | Accuracy: 18.75
>>>    Batch: 336 | Accuracy: 12.5
>>>    Batch: 352 | Accuracy: 0.0
>>>    Batch: 368 | Accuracy: 0.0
>>>    Batch: 384 | Accuracy: 6.25
>>>    Batch: 400 | Accuracy: 0.0
>>>    Batch: 416 | Accuracy: 12.5
>>>    Batch: 432 | Accuracy: 12.5
>>>    Batch: 448 | Accuracy: 25.0
>>>    Batch: 464 | Accuracy: 25.0
>>>    Batch: 480 | Accuracy: 12.5
>>>    Batch: 496 | Accuracy: 6.25
>>>    Batch: 512 | Accuracy: 31.25
>>>    Batch: 528 | Accuracy: 31.25
>>>    Batch: 544 | Accuracy: 37.5
>>>    Batch: 560 | Accuracy: 25.0
>>>    Batch: 576 | Accuracy: 18.75
>>>    Batch: 592 | Accuracy: 12.5
>>>    Batch: 608 | Accuracy: 25.0
>>>    Batch: 624 | Accuracy: 18.75
>>>    Batch: 640 | Accuracy: 12.5
>>>    Batch: 656 | Accuracy: 12.5
>>>    Batch: 672 | Accuracy: 25.0
>>>    Batch: 688 | Accuracy: 12.5
>>>    Batch: 704 | Accuracy: 12.5
>>>    Batch: 720 | Accuracy: 18.75
>>>    Batch: 736 | Accuracy: 18.75
>>>    Batch: 752 | Accuracy: 6.25
>>>    Batch: 768 | Accuracy: 6.25
>>>    Batch: 784 | Accuracy: 12.5
>>>    Batch: 800 | Accuracy: 25.0
>>>    Batch: 816 | Accuracy: 0.0
>>>    Batch: 832 | Accuracy: 0.0
>>>    Batch: 848 | Accuracy: 25.0
>>>    Batch: 864 | Accuracy: 6.25
>>>    Batch: 880 | Accuracy: 12.5
>>>    Batch: 896 | Accuracy: 6.25
>>>    Batch: 912 | Accuracy: 18.75
>>>    Batch: 928 | Accuracy: 18.75
>>>    Batch: 944 | Accuracy: 6.25
>>>    Batch: 960 | Accuracy: 25.0
>>>    Batch: 976 | Accuracy: 6.25
>>>    Batch: 992 | Accuracy: 12.5
>>>    Batch: 1008 | Accuracy: 18.75
>>>    Batch: 1024 | Accuracy: 31.25
>>>    Batch: 1040 | Accuracy: 31.25
>>>    Batch: 1056 | Accuracy: 37.5
>>>    Batch: 1072 | Accuracy: 12.5
>>>    Batch: 1088 | Accuracy: 6.25
>>>    Batch: 1104 | Accuracy: 12.5
>>>    Batch: 1120 | Accuracy: 31.25
>>>    Batch: 1136 | Accuracy: 12.5
>>>    Batch: 1152 | Accuracy: 6.25
>>>    Batch: 1168 | Accuracy: 37.5
>>>    Batch: 1184 | Accuracy: 43.75
